Rheasilvia,Vesta,500,-75,91.7,Planetocentric  +East  0 - 360,Approved,"Sep 30, 2011",Rhea Silvia- Roman vestal virgin- mother of Romulus and Remus (c. 770 B.C.).,
Rubria,Vesta,10,-7.4,169.1,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",Roman vestal virgin (c. 54).,
Saturnalia Fossa,Vesta,341,31.5,47.5,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",Three-day Roman festival starting on December 17- with sacrifices- public feasting- gifts- and slaves were waited on by their masters.,
Scantia,Vesta,20.2,29.5,65.3,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",Roman vestal virgin (c. 40 B.C.-A.D. 23).,
Serena,Vesta,18.6,-20.5,271.4,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",Roman noblewoman- niece of Emperor Theodosius (c. 400).,
Severina,Vesta,33,-75.5,272.5,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",Roman vestal virgin (c. 240).,
Sextilia,Vesta,20,-39,296.7,Planetocentric  +East  0 - 360,Approved,"Sep 30, 2011",Roman vestal virgin (d. 274 B.C.).,
Sossia,Vesta,8.2,-36.8,76.5,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",Roman vestal virgin.,
Tarpeia,Vesta,41,-69.5,179.7,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",Roman vestal virgin.,
Teia,Vesta,6.6,-3.4,61.7,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",Teia Euphrosyne Ruffina- Roman vestal virgin (c. 200).,
Tuccia,Vesta,12,-40,347.7,Planetocentric  +East  0 - 360,Approved,"Sep 30, 2011",Roman vestal virgin.,
Urbinia,Vesta,24,-30,66.7,Planetocentric  +East  0 - 360,Approved,"Sep 30, 2011",Roman vestal virgin.,
Veneneia,Vesta,450,-52,320.7,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",One of the first Roman vestal virgins.,
Vestalia Terra,Vesta,350,-5,37.7,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",Roman festival of Vesta--- held June 7-15.,
Vibidia,Vesta,7.6,-26.9,10.8,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",Roman vestal virgin (c. 48).,
